Name,Address 1,Address 2,Town/City,County,Postcode,Phone number,CQC Provider ID (for office use only),CQC Location ID (for office use only),Website,Local authority,Region,Report publication date,URL,Also known as,Specialisms/services,Service types,Provider name
Mydentist - Old Market - Bristol,36 Old Market,Old Market,Bristol,,BS2 0EZ,1179292208,1-171553721,1-199364204,http://www.mydentist.co.uk,"Bristol, City of",South West,2016-10-13T23:00:00Z,http://www.cqc.org.uk/location/1-199364204,,Services for everyone,Dentist,IDH Limited
The Dentists Old Market,56 Old Market Street,,Bristol,Avon,BS2 0ER,1179272589,1-3751793470,1-4084342007,http://www.thedentistsoldmarket.co.uk,"Bristol, City of",South West,,http://www.cqc.org.uk/location/1-4084342007,,Services for everyone,Dentist,The Dentists Old Market Ltd
Clare Street Dental Centre,16-24 Clare Street,,Bristol,,BS1 1YA,1179275890,1-153009044,1-207998384,http://www.execudent.co.uk,"Bristol, City of",South West,2020-01-10T00:00:00Z,http://www.cqc.org.uk/location/1-207998384,,Services for everyone,Dentist,Execudent Limited
Bristol Dental Practice Limited,1 Queen Square,,Bristol,,BS1 4JQ,1179105929,1-161841496,,http://www.thebristoldentist.co.uk,"Bristol, City of",South West,,http://www.cqc.org.uk/provider/1-161841496,,"Treatment of disease disorder or injury,Surgical procedures,Diagnostic and screening procedures",Organisation,
Bristol Dental Practice,1 Queen Square,,Bristol,,BS1 4JQ,1179105929,1-161841496,1-201723266,http://www.thebristoldentist.co.uk,"Bristol, City of",South West,2013-05-10T23:00:00Z,http://www.cqc.org.uk/location/1-201723266,,Services for everyone,Dentist,Bristol Dental Practice Limited
Transform Hospital Group Bristol,4 Queen Square,,Bristol,,BS1 4JQ,,1-6786205771,1-7463499058,,"Bristol, City of",South West,,http://www.cqc.org.uk/location/1-7463499058,,"Caring for adults under 65 yrs,Caring for adults over 65 yrs","Doctors/GPs,Doctors/GPs",Transform Hospital Group Limited
Optimax Laser Eye Clinics - Bristol,13 Clare Street,,Bristol,,BS1 1XH,1179258099,1-102643313,1-131383416,http://www.optimax.co.uk,"Bristol, City of",South West,2018-04-03T23:00:00Z,http://www.cqc.org.uk/location/1-131383416,,"Sensory impairments,Caring for adults under 65 yrs,Caring for adults over 65 yrs,Physical disabilities",Clinic,Optimax Clinics Limited
Sk:n - Bristol Clare Street,13 Clare Street,,Bristol,,BS1 1XH,3300377489,1-102643390,1-125650903,http://www.sknclinics.co.uk,"Bristol, City of",South West,2013-04-24T23:00:00Z,http://www.cqc.org.uk/location/1-125650903,,"Caring for adults under 65 yrs,Caring for adults over 65 yrs","Doctors/GPs,Doctors/GPs",Lasercare Clinics (Harrogate) Limited
The Medical @ Temple Quay,"Unit 3, The Square",Temple Quay,Bristol,,BS1 6DG,1173763732,1-1547075247,1-1745178468,http://www.themedical.co.uk/clinics/temple-quay,"Bristol, City of",South West,2019-08-19T23:00:00Z,http://www.cqc.org.uk/location/1-1745178468,,Caring for adults under 65 yrs,"Doctors/GPs,Doctors/GPs",Total Health Ethos Limited
Your Dentist Limited,1 Telephone Avenue,Marsh Street,Bristol,Avon,BS1 4AZ,1179544666,1-152952660,,http://www.st-augustines-dentalcare.com,"Bristol, City of",South West,,http://www.cqc.org.uk/provider/1-152952660,,"Treatment of disease disorder or injury,Surgical procedures,Diagnostic and screening procedures",Organisation,
Your Dentist Limited,1 Telephone Avenue,Marsh Street,Bristol,Avon,BS1 4AZ,1179544666,1-152952660,1-688993158,,"Bristol, City of",South West,2014-07-21T23:00:00Z,http://www.cqc.org.uk/location/1-688993158,,Services for everyone,Dentist,Your Dentist Limited
Queen Square Dental Clinic,17 Queen Square,,Bristol,Avon,BS1 4NH,1179272797,1-732350570,1-782164771,,"Bristol, City of",South West,2014-06-13T23:00:00Z,http://www.cqc.org.uk/location/1-782164771,,Services for everyone,Dentist,Ermevin Ltd
Ermevin Ltd,17 Queen Square,,Bristol,Avon,BS1 4NH,1179272797,1-732350570,,,"Bristol, City of",South West,,http://www.cqc.org.uk/provider/1-732350570,Queen Square Dental Clinic,"Treatment of disease disorder or injury,Surgical procedures,Diagnostic and screening procedures",Organisation,
Bupa Centre - Bristol,The Spectrum,Bond Street,Bristol,,BS1 3LG,1179122900,1-127013227,1-135584058,http://www.bupa.co.uk,"Bristol, City of",South West,2019-02-19T00:00:00Z,http://www.cqc.org.uk/location/1-135584058,,Services for everyone,"Doctors/GPs,Doctors/GPs,Phone/online advice",Bupa Occupational Health Limited
Bristol,1 Friary,Temple Quay,Bristol,Avon,BS1 6EA,1173445957,1-946645342,1-7063709234,http://www.garlandsupport.co.uk/bristo,"Bristol, City of",South West,,http://www.cqc.org.uk/location/1-7063709234,,"Caring for children (0 - 18yrs),Sensory impairments,Caring for adults under 65 yrs,Learning disabilities,Caring for adults over 65 yrs,Physical disabilities","Homecare agencies,Supported living",Garland Support and Training Limited
Trust Headquarters,Marlborough Street,,Bristol,,BS1 3NU,1173423600,RA7,RA7X4,http://www.uhbristol.nhs.uk,"Bristol, City of",South West,,http://www.cqc.org.uk/location/RA7X4,,Services for everyone,"Hospital,Ambulances,Community services - Healthcare",University Hospitals Bristol NHS Foundation Trust
University Hospitals Bristol NHS Foundation Trust,Marlborough Street,,Bristol,,BS1 3NU,1179230000,RA7,,http://www.uhbristol.nhs.uk,"Bristol, City of",South West,2019-08-15T23:00:00Z,http://www.cqc.org.uk/provider/RA7,,"Transport services triage and medical advice provided remotely,Maternity and midwifery services,Termination of pregnancies,Family planning services,Treatment of disease disorder or injury,Assessment or medical treatment for persons detained under the 1983 Act,Surgical procedures,Diagnostic and screening procedures,Management of supply of blood and blood derived products",NHS Body,
J & W Smiles Limited,Freshford House,Redcliffe Way,Bristol,,BS1 6NL,7988221993,1-6580543188,,,"Bristol, City of",South West,,http://www.cqc.org.uk/provider/1-6580543188,,"Treatment of disease disorder or injury,Surgical procedures,Diagnostic and screening procedures",Organisation,
Bristol Community Health Headquarters,South Plaza,Marlborough Street,Bristol,,BS1 3NX,1179002600,1-296908348,1-304870639,http://www.briscomhealth.org.uk,"Bristol, City of",South West,2014-03-29T00:00:00Z,http://www.cqc.org.uk/location/1-304870639,,Services for everyone,"Community services - Healthcare,Community services - Learning disabilities,Urgent care centres",Bristol Community Health C.I.C.
Bristol Community Health C.I.C.,South Plaza,Marlborough Street,Bristol,,BS1 3NX,1179002600,1-296908348,,http://www.briscomhealth.org.uk,"Bristol, City of",South West,2017-02-16T00:00:00Z,http://www.cqc.org.uk/provider/1-296908348,,"Personal care,Treatment of disease disorder or injury,Diagnostic and screening procedures",Organisation,
Newcross Healthcare Solutions Limited (Bristol),"2nd Floor, Colston Tower",Colston Street,Bristol,Avon,BS1 4XE,1179340640,1-101639039,1-1077825571,http://www.newcrosshealthcare.com,"Bristol, City of",South West,2019-07-03T23:00:00Z,http://www.cqc.org.uk/location/1-1077825571,,Services for everyone,"Community services - Nursing,Homecare agencies",Newcross Healthcare Solutions Limited
Bristol Plastic Surgery LLP,58 Queen Square,,Bristol,,BS1 4LF,1179102400,1-101634813,,http://www.bristolplasticsurgery.com,"Bristol, City of",South West,,http://www.cqc.org.uk/provider/1-101634813,,"Treatment of disease disorder or injury,Surgical procedures,Diagnostic and screening procedures",Organisation,
Bristol Plastic Surgery,58 Queen Square,,Bristol,,BS1 4LF,1179102400,1-101634813,1-110074478,http://www.58queensquare.com,"Bristol, City of",South West,2016-02-12T00:00:00Z,http://www.cqc.org.uk/location/1-110074478,,"Caring for children (0 - 18yrs),Caring for adults under 65 yrs,Caring for adults over 65 yrs",Clinic,Bristol Plastic Surgery LLP
University Hospitals Bristol Main Site,Bristol Royal Infirmary,Upper Maudlin Street,Bristol,,BS2 8HW,,RA7,RA7C1,http://www.uhbristol.nhs.uk,"Bristol, City of",South West,2019-08-15T23:00:00Z,http://www.cqc.org.uk/location/RA7C1,,Services for everyone,Hospital,University Hospitals Bristol NHS Foundation Trust
Therapeutic Apheresis Unit - Horfield Road Bristol,"Level 3, Bristol Haematology and Oncology Centre (New Build)",Horfield Road,Bristol,,BS2 8ED,1179882049,T1460,T1460X6,,"Bristol, City of",South West,,http://www.cqc.org.uk/location/T1460X6,,Services for everyone,"Clinic,Blood and transplant service",NHS Blood and Transplant
Quinn Aesthetics Limited,8 Unity Street,College Green,Bristol,,BS1 5HH,1179244592,1-217825733,,http://www.qclinics.co.uk,"Bristol, City of",South West,,http://www.cqc.org.uk/provider/1-217825733,,"Treatment of disease disorder or injury,Diagnostic and screening procedures",Organisation,
Homeless Health Service,Compass Centre,Jamaica Street,Bristol,Avon,BS2 8JP,1179892450,1-199760373,1-2921768476,http://www.compasshealthbristol.co.uk,"Bristol, City of",South West,2017-07-25T23:00:00Z,http://www.cqc.org.uk/location/1-2921768476,,"Caring for adults under 65 yrs,Caring for adults over 65 yrs","Doctors/GPs,Doctors/GPs,Mobile doctors",Brisdoc Healthcare Services Limited
Index Medical Limited,60 City Road,St Pauls,Bristol,,BS2 8TX,7901557412,1-101728017,1-146741995,http://www.doctorfox.co.uk,"Bristol, City of",South West,2019-06-03T23:00:00Z,http://www.cqc.org.uk/location/1-146741995,,,Mobile doctors,Index Medical Limited
Dean Healthcare South West Ltd - Bristol,Jubilee House,Wapping Road,Bristol,Avon,BS1 4RW,1173250282,1-2610147675,1-2858201899,,"Bristol, City of",South West,,http://www.cqc.org.uk/location/1-2858201899,,"Caring for children (0 - 18yrs),Sensory impairments,Caring for adults under 65 yrs,Dementia,Learning disabilities,Mental health conditions,Caring for adults over 65 yrs,Substance misuse problems,Eating disorders,Physical disabilities","Community services - Healthcare,Homecare agencies",Dean Healthcare South West Ltd
The Practice at The General Limited,Bristol General Hospital,Lower Guinea Street,Bristol,Avon,BS1 6SY,1173691230,1-4301786538,,http://www.practicegeneral.co.uk,"Bristol, City of",South West,,http://www.cqc.org.uk/provider/1-4301786538,The Practice at The General,"Treatment of disease disorder or injury,Surgical procedures,Diagnostic and screening procedures",Organisation,
The Practice at The General,Lower Guinea Street,,Bristol,Avon,BS1 6SY,1173691230,1-4301786538,1-4539473166,http://www.practicegeneral.co.uk,"Bristol, City of",South West,,http://www.cqc.org.uk/location/1-4539473166,,Services for everyone,Dentist,The Practice at The General Limited
Bristol,38 Park Street,,Bristol,Avon,BS1 5JG,7507880406,1-2819608943,1-2922792200,http://www.nomadtravel.co.uk,"Bristol, City of",South West,2019-08-19T23:00:00Z,http://www.cqc.org.uk/location/1-2922792200,Nomad Travel Clinic - Bristol,Services for everyone,Doctors/GPs,TMB Trading Limited
Bristol City Council,City Hall,College Green,Bristol,,BS1 5TR,1179222000,1-101642256,,,"Bristol, City of",South West,,http://www.cqc.org.uk/provider/1-101642256,,"Personal care,Accommodation for persons who require nursing or personal care",Organisation,
Prime Endoscopy (Bristol) Limited,Unit 2 and 3,Millennium Promenade,Bristol,,BS1 5SZ,1494560000,1-147604414,1-2665862539,http://www.inhealthgroup.com,"Bristol, City of",South West,2019-04-01T23:00:00Z,http://www.cqc.org.uk/location/1-2665862539,,"Caring for adults under 65 yrs,Caring for adults over 65 yrs",Diagnosis/screening,Prime Endoscopy (Bristol) Limited
Lawrence Hill Health Centre,Hassell Drive,Easton,Bristol,,BS2 0AN,1179543060,1-199759847,1-558155440,http://www.lawrencehillhealthcentre.co.uk,"Bristol, City of",South West,2019-09-11T23:00:00Z,http://www.cqc.org.uk/location/1-558155440,,Services for everyone,"Doctors/GPs,Doctors/GPs",Lawrence Hill Health Centre
Lawrence Hill Health Centre,Hassell Drive,Easton,Bristol,,BS2 0AN,1179543060,1-199759847,,http://www.lawrencehillhealthcentre.co.uk,"Bristol, City of",South West,,http://www.cqc.org.uk/provider/1-199759847,,"Maternity and midwifery services,Family planning services,Treatment of disease disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,
The Dental Touch,9 Cotham Road South,,Bristol,,BS6 5TZ,1179244440,1-228302068,1-251456901,http://www.dental-touch.co.uk,"Bristol, City of",South West,2014-10-24T23:00:00Z,http://www.cqc.org.uk/location/1-251456901,,Services for everyone,Dentist,The Dental Touch
The Dental Touch,9 Cotham Road South,,Bristol,,BS6 5TZ,1179244440,1-228302068,,,"Bristol, City of",South West,,http://www.cqc.org.uk/provider/1-228302068,,"Treatment of disease disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,
Supported Independence Limited,27-29 Ashley Road,,Bristol,,BS6 5NJ,1179248764,1-101609588,,http://www.supportedindependence.co.uk,"Bristol, City of",South West,,http://www.cqc.org.uk/provider/1-101609588,,Personal care,Organisation,
Kelly House,27-29 Ashley Road,,Bristol,,BS6 5NJ,1179246438,1-101609588,1-124769788,http://www.supportedindependence.co.uk,"Bristol, City of",South West,2019-04-01T23:00:00Z,http://www.cqc.org.uk/location/1-124769788,,"Dementia,Learning disabilities,Mental health conditions,Caring for adults over 65 yrs,Caring for people whose rights are restricted under the Mental Health Act,Substance misuse problems,Eating disorders,Physical disabilities","Homecare agencies,Rehabilitation (illness/injury),Supported living",Supported Independence Limited
Dr Kit Harrison Merrill,48 Coronation Road,Southville,Bristol,,BS3 1AR,1179082440,1-2278064302,,http://www.beechtreedentalsurgery.com,"Bristol, City of",South West,,http://www.cqc.org.uk/provider/1-2278064302,Beech Tree Dental Surgery,"Treatment of disease disorder or injury,Surgical procedures,Diagnostic and screening procedures",Individual,
63 Coronation Road,Southville,,Bristol,Avon,BS3 1AR,1179077217,1-101649874,1-118415543,http://www.milestonestrust.org.uk,"Bristol, City of",South West,2017-10-20T23:00:00Z,http://www.cqc.org.uk/location/1-118415543,,Mental health conditions,Residential homes,Milestones Trust
Beech Tree Dental Surgery,48 Coronation Road,Southville,Bristol,,BS3 1AR,1179082440,1-2278064302,1-2439197935,http://www.beechtreedentalsurgery.com,"Bristol, City of",South West,,http://www.cqc.org.uk/location/1-2439197935,,Services for everyone,Dentist,Dr Kit Harrison Merrill
Bedminster Family Practice,Regent Road,Bedminster,Bristol,,BS3 4AT,1179663149,1-199759781,,http://www.bedminsterfamilypractice.co.uk,"Bristol, City of",South West,,http://www.cqc.org.uk/provider/1-199759781,,"Maternity and midwifery services,Family planning services,Treatment of disease disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,
Bedminster Family Practice,Regent Road,Bedminster,Bristol,,BS3 4AT,1179663149,1-199759781,1-540214842,http://www.bedminsterfamilypractice.co.uk,"Bristol, City of",South West,2017-06-26T23:00:00Z,http://www.cqc.org.uk/location/1-540214842,,Services for everyone,"Doctors/GPs,Doctors/GPs",Bedminster Family Practice
Clifton Orthodontics,26 Berkeley Square,Clifton,Bristol,,BS8 1HP,1179297594,1-152954412,,http://www.cliftonorthodontics.co.uk,"Bristol, City of",South West,,http://www.cqc.org.uk/provider/1-152954412,,"Treatment of disease disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,
Veincentre Bristol (Berkeley Square),25-26 Berkeley Square,,Bristol,Avon,BS8 1HP,1782753960,1-136108318,1-1277865184,http://www.veincentre.com,"Bristol, City of",South West,,http://www.cqc.org.uk/location/1-1277865184,,"Caring for adults under 65 yrs,Caring for adults over 65 yrs","Doctors/GPs,Doctors/GPs",Veincentre Limited
Clifton Orthodontics,26 Berkeley Square,Clifton,Bristol,,BS8 1HP,1179297594,1-152954412,1-189878207,http://www.cliftonorthodontics.co.uk,"Bristol, City of",South West,2013-06-11T23:00:00Z,http://www.cqc.org.uk/location/1-189878207,,Services for everyone,Dentist,Clifton Orthodontics
Bristol Dental Specialists,24 Berkeley Square,Clifton,Bristol,,BS8 1HP,1174506666,1-7338857438,1-7509741397,http://www.bristoldentalspecialists.com,"Bristol, City of",South West,,http://www.cqc.org.uk/location/1-7509741397,,Services for everyone,Dentist,Bristol Dental Specialists Ltd
Bristol Dental Specialists Ltd,24 Berkeley Square,Clifton,Bristol,,BS8 1HP,1174506666,1-7338857438,,http://www.bristoldentalspecialists.com,"Bristol, City of",South West,,http://www.cqc.org.uk/provider/1-7338857438,,"Treatment of disease disorder or injury,Surgical procedures,Diagnostic and screening procedures",Organisation,
Happy Care Ltd,122 Grosvenor Road,,Bristol,Avon,BS2 8YA,1173364947,1-5890937109,,http://www.happycareltd.com,"Bristol, City of",South West,,http://www.cqc.org.uk/provider/1-5890937109,,Personal care,Organisation,
Bridge View Medical,67 Coronation Road,Bedminster,Bristol,,BS3 1AS,1179669724,1-199759080,,http://www.southvillesurgery.nhs.uk,"Bristol, City of",South West,,http://www.cqc.org.uk/provider/1-199759080,,"Family planning services,Treatment of disease disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,
Bridge View Medical,67 Coronation Road,Bedminster,Bristol,,BS3 1AS,1179669724,1-199759080,1-549784732,http://www.southvillesurgery.nhs.uk,"Bristol, City of",South West,2016-11-11T00:00:00Z,http://www.cqc.org.uk/location/1-549784732,,Services for everyone,"Doctors/GPs,Doctors/GPs",Bridge View Medical
Phylo Bioscience,"Unit Dx, St. Philips Central","Albert Road, St. Philips",Bristol,,BS2 0XJ,7930243610,1-6197680565,1-6775953886,,"Bristol, City of",South West,,http://www.cqc.org.uk/location/1-6775953886,,Services for everyone,Diagnosis/screening,Invivo Clinical Limited
MASTA Travel Clinic - Bristol,STA Travel,43 Queens Road,Bristol,,BS8 1QQ,1179294824,1-101726655,1-806963241,http://www.masta-travel-health.com,"Bristol, City of",South West,2019-05-21T23:00:00Z,http://www.cqc.org.uk/location/1-806963241,,Services for everyone,Doctors/GPs,MASTA Limited
Claro Homes,11-16 Philip Street,Bedminster,Bristol,,BS3 4EA,1179636409,1-101610137,1-118587778,http://www.brightbowlodge.com,"Bristol, City of",South West,2017-12-07T00:00:00Z,http://www.cqc.org.uk/location/1-118587778,,"Caring for adults under 65 yrs,Mental health conditions,Caring for adults over 65 yrs","Nursing homes,Residential homes,Rehabilitation (illness/injury)",The Lodge Rest Limited
The Lodge Rest Limited,11-16 Philip Street,Bedminster,Bristol,,BS3 4EA,1179636409,1-101610137,,http://www.brightbowlodge.com,"Bristol, City of",South West,,http://www.cqc.org.uk/provider/1-101610137,,"Accommodation for persons who require nursing or personal care,Treatment of disease disorder or injury",Organisation,
Montpelier Health Centre,Bath Buildings,,Bristol,Avon,BS6 5PT,1179426811,1-199759118,,http://www.montpelierhealthcentre.co.uk,"Bristol, City of",South West,,http://www.cqc.org.uk/provider/1-199759118,,"Maternity and midwifery services,Family planning services,Treatment of disease disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,
Montpelier Health Centre,Bath Buildings,,Bristol,Avon,BS6 5PT,1179426811,1-199759118,1-570904430,http://www.montpelierhealthcentre.co.uk,"Bristol, City of",South West,2019-09-01T23:00:00Z,http://www.cqc.org.uk/location/1-570904430,,Services for everyone,"Doctors/GPs,Doctors/GPs",Montpelier Health Centre
University of Bristol,Hampton House Health Centre,"St Michael's Hill, Cotham",Bristol,,BS6 6AU,1173302720,1-199760145,,http://www.bristol.ac.uk/students-health,"Bristol, City of",South West,,http://www.cqc.org.uk/provider/1-199760145,University of Bristol Students' Health Service,"Maternity and midwifery services,Family planning services,Treatment of disease disorder or injury,Surgical procedures,Diagnostic and screening procedures",Organisation,
University of Bristol,Hampton House Health Centre,"St Michael's Hill, Cotham",Bristol,,BS6 6AU,1173302720,1-199760145,1-536953505,http://www.bris.ac.uk/students-health,"Bristol, City of",South West,2016-08-18T23:00:00Z,http://www.cqc.org.uk/location/1-536953505,University of Bristol Students' Health Service,Services for everyone,"Doctors/GPs,Doctors/GPs",University of Bristol
"Bupa - Ashley Road, St Pauls",2 Ashley Court,153 Ashley Road,Bristol,,BS6 5NW,1179550128,1-152955249,1-197195004,,"Bristol, City of",South West,2013-06-11T23:00:00Z,http://www.cqc.org.uk/location/1-197195004,,Services for everyone,Dentist,Xeon Smiles UK Limited
The Family Practice,Western College,Cotham Road,Bristol,,BS6 6DF,1179466455,1-199759856,,http://www.fpwc.nhs.uk,"Bristol, City of",South West,,http://www.cqc.org.uk/provider/1-199759856,,"Maternity and midwifery services,Family planning services,Treatment of disease disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,
The Family Practice,Western College,Cotham Road,Bristol,,BS6 6DF,1179466455,1-199759856,1-562698152,http://www.fpwc.nhs.uk,"Bristol, City of",South West,2016-08-09T23:00:00Z,http://www.cqc.org.uk/location/1-562698152,,Services for everyone,"Doctors/GPs,Doctors/GPs",The Family Practice
Nuffield Health Bristol Fitness and Wellbeing Centre,Pavilion,"Queens Road, Clifton",Bristol,,BS8 1QS,1179872727,1-102643516,1-251703522,http://www.nuffieldhealth.com,"Bristol, City of",South West,2019-06-02T23:00:00Z,http://www.cqc.org.uk/location/1-251703522,,Caring for adults over 65 yrs,Doctors/GPs,Nuffield Health
St Joseph's Home - Bristol,St Joseph's Home,66 Cotham Hill,Bristol,,BS6 6JT,1179733815,1-101650455,1-131623946,http://www.littlesistersofthepoor.co.uk,"Bristol, City of",South West,2018-04-04T23:00:00Z,http://www.cqc.org.uk/location/1-131623946,,Caring for adults over 65 yrs,Nursing homes,Little Sisters of the Poor
Guinness Care Lincoln Gardens,Lincoln Street, Lawrence Hill,Bristol,,BS5 0BZ,1173041720,1-101657509,1-5030588514,,"Bristol, City of",South West,2019-04-12T23:00:00Z,http://www.cqc.org.uk/location/1-5030588514,,"Caring for adults under 65 yrs,Dementia,Caring for adults over 65 yrs,Physical disabilities",Supported housing,Guinness Care and Support Limited
Prestige Nursing Bristol,44 & 47 Montpelier Court,"Station Road, Montpelier",Bristol,,BS6 5EA,1179232222,1-118165907,1-4858716867,http://www.prestige-nursing.co.uk,"Bristol, City of",South West,2019-04-01T23:00:00Z,http://www.cqc.org.uk/location/1-4858716867,,"Sensory impairments,Dementia,Learning disabilities,Mental health conditions,Caring for adults over 65 yrs,Eating disorders,Physical disabilities",Homecare agencies,Prestige Nursing Limited
West of England Friends Housing Society Limited,5 Cotham Park North,Cotham,Bristol,,BS6 6BH,1179892020,1-101609912,,,"Bristol, City of",South West,,http://www.cqc.org.uk/provider/1-101609912,,Accommodation for persons who require nursing or personal care,Organisation,
Avenue House - Bristol,Avenue House,5 Cotham Park North,Bristol,,BS6 6BH,1179892020,1-101609912,1-110050996,,"Bristol, City of",South West,2017-12-01T00:00:00Z,http://www.cqc.org.uk/location/1-110050996,,Caring for adults over 65 yrs,Residential homes,West of England Friends Housing Society Limited
Olive Leaf Health & Homecare Limited,75a Jacobs Wells Road,,Bristol,,BS8 1DJ,3330124384,1-1921188456,,http://www.oliveleafhealthcare.co.uk,"Bristol, City of",South West,,http://www.cqc.org.uk/provider/1-1921188456,Olive Leaf Healthcare Solutions,Personal care,Organisation,
THMG Bristol Clinic,Thomas Lennard House,2 Whiteladies Road,Bristol,Avon,BS8 1PD,2072919700,1-1794840188,1-1980103269,http://www.harleymedical.co.uk,"Bristol, City of",South West,,http://www.cqc.org.uk/location/1-1980103269,,Caring for adults over 65 yrs,Doctors/GPs,THMG Limited
HF Trust - Avon DCA,128 Richmond Road,Montpelier,Bristol,,BS6 5ER,1179243152,1-102643104,1-120702134,http://www.hft.org.uk,"Bristol, City of",South West,2019-08-13T23:00:00Z,http://www.cqc.org.uk/location/1-120702134,,Learning disabilities,Homecare agencies,HF Trust Limited
East Street Dental Centre,68-70 East Street,Bedminster,Bristol,,BS3 4EY,1179663298,1-161850942,1-206165039,http://www.mydentist.co.uk,"Bristol, City of",South West,2019-12-11T00:00:00Z,http://www.cqc.org.uk/location/1-206165039,,Services for everyone,Dentist,Petrie Tucker and Partners Limited
The Clifton Dental Studio,92 Queens Road,Clifton,Bristol,Avon,BS8 1RT,1179731910,1-433697697,1-438696336,http://www.cliftonsmiles.com,"Bristol, City of",South West,2013-11-07T00:00:00Z,http://www.cqc.org.uk/location/1-438696336,,Services for everyone,Dentist,Cosmetident Limited
Cosmetident Limited,92 Queens Road,Clifton,Bristol,Avon,BS8 1RT,,1-433697697,,http://www.cliftonsmiles.com,"Bristol, City of",South West,,http://www.cqc.org.uk/provider/1-433697697,Clifton Dental Studio,"Treatment of disease disorder or injury,Surgical procedures,Diagnostic and screening procedures",Organisation,
Coronation Road Dental Surgery,151 Coronation Road,Southville,Bristol,Avon,BS3 1RE,1179663697,1-3732167902,,,"Bristol, City of",South West,,http://www.cqc.org.uk/provider/1-3732167902,,"Treatment of disease disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,
